status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,Coy1MJ4BXb1gYwgPz7Tu,742cN54BXb1gYwgPS05o,Y,,af8e1ac153c24bbd,af8e1ac153c24bbd,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,C4y1MJ4BXb1gYwgPz7Tu,8I2cN54BXb1gYwgPS05o,Y,,d9009439ff03214c,d9009439ff03214c,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,DIy1MJ4BXb1gYwgPz7Tu,8Y2cN54BXb1gYwgPS05o,Y,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,DYy1MJ4BXb1gYwgPz7Tu,8o2cN54BXb1gYwgPS05o,Y,,aea1aa47987b6fda,aea1aa47987b6fda,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,Doy1MJ4BXb1gYwgPz7Tu,842cN54BXb1gYwgPS05o,Y,,1ada171ca12369b1,1ada171ca12369b1,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,D4y1MJ4BXb1gYwgPz7Tu,9I2cN54BXb1gYwgPS05o,Y,,ceff37513c708793,ceff37513c708793,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,EIy1MJ4BXb1gYwgPz7Tu,9Y2cN54BXb1gYwgPS05o,Y,,63e4eb05e078bc7b,63e4eb05e078bc7b,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,EYy1MJ4BXb1gYwgPz7Tu,9o2cN54BXb1gYwgPS05o,Y,,feaaa58866fa9a2e,feaaa58866fa9a2e,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,Eoy1MJ4BXb1gYwgPz7Tu,942cN54BXb1gYwgPS05o,Y,,597504101cfc5cdb,597504101cfc5cdb,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,E4y1MJ4BXb1gYwgPz7Tu,-I2cN54BXb1gYwgPS05o,Y,,abbae577877e344f,abbae577877e344f,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,FIy1MJ4BXb1gYwgPz7Tu,-Y2cN54BXb1gYwgPS05o,Y,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,FYy1MJ4BXb1gYwgPz7Tu,-o2cN54BXb1gYwgPS05o,Y,,50293fcfe89a141f,50293fcfe89a141f,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,Foy1MJ4BXb1gYwgPz7Tu,-42cN54BXb1gYwgPS05o,Y,,221618d395f73051,221618d395f73051,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,13,13,F4y1MJ4BXb1gYwgPz7Tu,_I2cN54BXb1gYwgPS05o,Y,,b01b053514a6e0bc,b01b053514a6e0bc,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,14,14,GIy1MJ4BXb1gYwgPz7Tu,_Y2cN54BXb1gYwgPS05o,Y,,4eb047d23122bfdf,4eb047d23122bfdf,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
